Main_cat	Sub_category_1	Sub_category_2	Sub_category_3	Description
Drive: Wheel	Bellows			"The bellows, also known as the axle boot, must be replaced relatively frequently because they are usually made of plastic or rubber and tend to tear over time. They should then be replaced promptly to avoid damaging the axle joints. In addition, the lubricating grease in the axle boot can be thrown out and, in the worst case, land on the brake disc. The braking effect is reduced by the grease and precise deceleration of the car is no longer possible. Bellows with fastening clamps and lubricating grease Changing the axle boot The axle boot or bellows must always be replaced if the old ones have been torn or perhaps damaged by animal bites. Depending on the vehicle type, the entire suspension may have to be dismantled, while in other cars it is sufficient to loosen the drive shaft support joint. The replacement should therefore be carried out in a specialist workshop, where the work costs around 150 euros depending on the hourly rate. Incidentally, replacement is often easier in rear-wheel drive vehicles than in front-wheel drive vehicles."
Drive: Wheel	Joint set			"The drive shafts are connected to the wheel hub and the differential or gearbox by means of joints. These joint sets are necessary to ensure that the power is transmitted to the wheels even when steering and driving over bumps. The joints allow the vehicle to be compressed, whereby the wheel-side joint is usually subject to greater loads and therefore usually wears out sooner. The scope of delivery of a joint set can vary considerably. In addition to the actual joint and suitable fastening screws, bellows with suitable clamps are often included. Grease can also be included in the package, but does not have to be. Wheel-side joint set for a VW GOLF 3 What should you consider when buying a joint set? If you have already selected the right vehicle, you will usually find a whole range of joint sets at kfzteile24. Pay attention to the installation side, i.e. whether it is a wheel-side or gearbox-side joint, whether the engine code matches your vehicle and whether the gearbox type matches your car. You can find out whether the desired joint kit really fits your car either by using the original spare part number or by looking at the vehicle types for which the joint is approved. Of course, our friendly and competent support team will also be happy to help you with your selection."
Drive: Wheel	Tripod star			
Batteries	Batteries | Chargers | Converters			"Problems with the starter battery can arise, especially in winter, if it cannot generate enough energy to start the combustion process. The reason for this is the increased friction and compression resistance as well as the necessary charging voltage, which increases in cold weather. However, since many cars do not have temperature-dependent voltage regulation, the charging voltage must be such that it does not overcharge in summer. As a result, the starter battery is not fully charged in winter and less energy is stored. An appropriate charger can help and also ensures that sulfation is avoided in lead batteries. Starter battery for a car Starter battery from f.becker_line Finding the right starter battery If you need a new starter battery for your car, you can simply enter your vehicle data in our shop and select suitable starter batteries based on the vehicle type. Or you can buy the battery based on the technical data. Not only voltage and capacity are relevant, but also the dimensions of the battery and the arrangement of the poles. After all, the individual battery cells can be arranged differently. Avoid shocks during installation and always transport batteries upright."
Batteries	Battery (selection via vehicle type)			"Table of Contents Function of the battery Structure of a typical car battery How a lead-acid battery works Wet batteries Gel and AGM batteries Correct storage Charging to prevent sulfation What should you bear in mind when buying? Changing a battery The advantages of kfzteile24 Function of the battery Electrical energy is also playing an increasingly important role in cars. In addition to obvious consumers such as lamps for headlights or indicators, it is additional safety and comfort systems in particular that increase the amount of electricity required. For example, auxiliary, seat, window and mirror heaters, the air conditioning fan, ABS and ESP as well as electronic injection and ignition systems all require energy to work. The voltage is supplied by the generator, which is usually driven by the combustion engine by means of a V-ribbed belt and covers a power requirement of around 2000 watts. To be able to deliver this power for one hour, the generator consumes around 1 liter of fuel. However, in order for the radio or navigation system to work when idling or when the engine is switched off, the car needs a battery. It serves as a buffer to absorb electrical energy generated by the alternator and release it when required. Its primary task, however, is to supply the starter motor with energy so that it can initially start the combustion process. The car battery is therefore often referred to as a starter battery. Since it is rechargeable, it is an accumulator. Structure of a typical car battery The lead-acid accumulator based on electrode plates made of lead dioxide (positive plate) and lead (negative plate) consists of several cells. In a cell, the plates are stored as close together as possible, but separated by a separator (usually PVC) to prevent short circuits. Such a cell made of lead plates delivers a voltage of 2 volts. By connecting 6 cells in series, the 12 volts required for the car are achieved. The plates and separators are flooded with an electrolyte solution (diluted sulfuric acid with a concentration of 37%). Above the plates is the electrolyte storage space and below the plates a sludge space absorbs dissolved lead. The entire construction is enclosed in a block box that allows it to be attached to the vehicle. Lead-acid batteries can leak and should therefore always be transported upright and stored on a level surface. Calcium-calcium batteries are maintenance-free. They are replaced at the end of their service life. How a lead-acid battery works When charged, the positive plates of the battery consist of lead dioxide (PbO2) and the negative plates of lead (Pb). When discharging, a chemical reaction takes place in which both plates are converted to lead sulfate (PbSO4). One product of this process is water (H2O).which causes the acid concentration to drop. The acid concentration is therefore an indicator of the battery's charge level. If it drops to 17%, the battery is completely discharged. When charging, the process is reversed, so that lead, lead dioxide and sulphuric acid are formed from lead sulphate and water. The overall reaction is as follows: The discharge with the release of electrical energy takes place to the right. The charging by means of energy supply takes place to the left. Pb + PbO2 + 2H2SO4 <-> 2PbSO4 + 2H2O Lead + lead dioxide + sulphuric acid <-> lead sulphate + water Wet battery The wet battery is the most common type of battery in the passenger car sector, although the lead accumulators, which are still widely used in the majority of new cars, have been replaced by calcium batteries. Compared to conventional lead-lead dioxide batteries, these accumulators are maintenance-free and have only a low level of self-discharge, but they do not have the option of refilling with distilled water. Loss of fluid, which also occurs over the life of the battery, cannot therefore be compensated. Instead, the battery is replaced in its entirety. A special form of wet battery is the EFB battery (enhanced flooded battery), which promises greater cycle density and a longer service life by adding carbon additives when producing the electrode plates. They can be charged and discharged quickly and are therefore suitable for engines with automatic start-stop systems, unlike other starter batteries. Gel and AGM batteries In batteries of this type, the electrolyte is no longer liquid and is either bound as a gel by adding silica (silicon gel batteries) or within a microfiber fleece (AGM batteries - absorbing glass mat). This special feature makes it possible to pack the positive and negative plates particularly closely within the battery and reduce the internal resistance. Due to the closed design, any gases that are produced are converted back into water in an oxygen recombination process, so that these accumulators have a long service life and only have a low self-discharge. They are leak-proof and generally more shock-resistant than wet batteries. Another advantage is that they are easier to transport and can be installed more flexibly. Due to their high cycle density, AGM batteries are particularly suitable for automatic start-stop systems. AGM batteries can even be easily charged by short-term energy supply, such as when braking. However, they are correspondingly expensive. At kfzteile24 you will find car batteries for every budget. You can also find batteries from the brand manufacturer Varta at kfzteile24. When buying batteries, pay attention to the dimensions and the specified performance data. Correct storage of a car battery The starter battery should generally only be removed from the vehicle if it is not in use.if a longer period of downtime is imminent and there is a risk of deep discharge (80% of the nominal capacity) due to self-discharge. Depending on the design, self-discharge can be up to 1% of the nominal capacity per day and depends on the acid concentration, the acid level and the temperature. The battery should be stored in a cool (approx. 10  Celsius) and dry place, on a level surface and in an upright position. Regular ventilation prevents the accumulation of toxic gases. The charge and acid level are also checked regularly (more frequently in winter than in summer, i.e. every 1-2 months). If necessary, charge the battery using a charger with electronic charge control and top up the acid level. This must only be done with distilled water, because filling the battery with sulphuric acid reduces the conductivity of the accumulator. In addition, large sulphate crystals form, which lead to sulphation and reduce the battery capacity to such an extent that it becomes unusable. Charging to prevent sulfation Sulfate formation in lead accumulators is a completely normal process, as can be seen from the way it works. However, if large sulfate crystals form, they can no longer be converted back and the battery capacity decreases. The only way to prevent this is to avoid the formation of large crystals. Like all crystals, they only grow over time when there is enough material, and converting the sulfate into lead and lead dioxide by charging prevents this. If you do not remove the battery and drive the car regularly, you should have few problems with the battery if the voltage generation and voltage regulation in the car are working properly. BUT: The charging voltage required to fully charge the battery depends on the temperature and is higher in cold weather than in warm weather. However, since most cars do not use a temperature-dependent charging voltage and the aim is to prevent overcharging in summer, the charging voltage in winter is usually too low for all of the lead sulfate to be fully converted. If you want to prevent this, you must connect a charger with temperature-dependent voltage regulation to the battery approximately every 1-2 weeks in order to achieve a full charge. What should you consider when buying? Depending on the technology, conditions of use and care, an average battery has a lifespan of around 6 years. However, cheap products from the hardware store can lose so much capacity after just 2-3 years that they can no longer perform their function. When buying a new battery, you should therefore opt for high-quality branded products in order to save effort and costs and, last but not least, to protect the environment. The battery can usually be replaced by a layperson, but it is recommended that both the generator and the voltage regulator be checked if the battery is defective.to rule out a fault in the power supply. When buying the battery, you should pay attention to the characteristics of your current accumulator (nominal voltage, capacity and cold test current) and choose the new battery accordingly. The installation size, mounting rails and pole position must also be correct in order to be able to attach the starter battery securely. Changing the battery Changing a battery in the workshop costs between 150 and 600 euros depending on the vehicle, although the battery itself and of course the labor costs can vary greatly. However, with a little skill, it can usually be replaced by yourself. First check that the power supply is OK, i.e. that the generator delivers around 14 volts when the engine is running. The voltage is checked using a multimeter that is connected to the positive and negative poles of the battery. Then remove the multimeter to connect a charger with voltage maintenance. This prevents settings in the control unit, clock or radio from being lost when the battery is changed. Pay attention to the polarity of the connections. If the battery has a positive distributor, the charger is connected to it, because the positive distributor is removed first. However, switch off all electrical consumers and of course the engine before changing. Disconnecting the battery The car battery is usually located in the engine compartment, but depending on the vehicle it can also be located in the rear. This does not change the procedure for disconnecting. First, the cable of the negative terminal is removed. In contrast to the red positive cable, it is usually black. Only after the negative cable has been removed can the positive cable be disconnected from the battery. Inserting the new battery Before installation, the batteries should be checked again to ensure they are identical. The size, pole position and of course the capacity should be identical. Any additional bars for fastening can be removed. They are sometimes present so that one type of battery can be used in different car models. Now put the battery back in the right place in the designated place and clean the cable contacts. Connecting the car battery When connecting, first attach the red positive cable to the positive terminal. A little terminal grease prevents premature corrosion. The negative cable can then be attached to the negative terminal. If the car has a positive distributor, this is also screwed back on. The charger with voltage maintenance can then be removed. Finally, the battery is reattached using the holders provided and any pole caps are put on.to be able to attach the starter battery securely. Changing the battery Changing a battery in a workshop costs between 150 and 600 euros, depending on the vehicle, although the battery itself and of course the labor costs can vary greatly. However, with a little skill, you can usually replace it yourself. First check that the power supply is OK, i.e. that the generator delivers around 14 volts when the engine is running. The voltage is checked using a multimeter that is connected to the positive and negative poles of the battery. Then remove the multimeter in order to connect a charger with voltage maintenance. This prevents settings in the control unit, clock or radio from being lost when the battery is changed. Pay attention to the polarity of the connections. If the battery has a positive distributor, the charger is connected to this, because the positive distributor is removed first. Nevertheless, switch off all electrical consumers and of course the engine before changing. Disconnecting the battery The car battery is usually located in the engine compartment, but depending on the vehicle it can also be located in the rear. This does not change the procedure for disconnecting. First, the negative terminal cable is removed. In contrast to the red positive cable, it is usually black. Only after the negative cable has been removed can the positive cable be disconnected from the battery. Inserting the new battery Before installation, the batteries should be checked again to ensure they are identical in design. The size, pole position and of course the capacity should be identical. Any additional fastening bars can be removed. They are sometimes present so that one type of battery can be used in different car models. Now put the battery back in the right place and clean the cable contacts. Connecting the car battery When connecting, first attach the red positive cable to the positive terminal. A little terminal grease prevents premature corrosion. The negative cable can then be attached to the negative terminal. If the car has a positive distributor, this is also screwed back on. The charger with voltage maintenance can then be removed. Finally, the battery is reattached to the holders provided and any pole caps are put on.to be able to attach the starter battery securely. Changing the battery Changing a battery in a workshop costs between 150 and 600 euros, depending on the vehicle, although the battery itself and of course the labor costs can vary greatly. However, with a little skill, you can usually replace it yourself. First check that the power supply is OK, i.e. that the generator delivers around 14 volts when the engine is running. The voltage is checked using a multimeter that is connected to the positive and negative poles of the battery. Then remove the multimeter in order to connect a charger with voltage maintenance. This prevents settings in the control unit, clock or radio from being lost when the battery is changed. Pay attention to the polarity of the connections. If the battery has a positive distributor, the charger is connected to this, because the positive distributor is removed first. Nevertheless, switch off all electrical consumers and of course the engine before changing. Disconnecting the battery The car battery is usually located in the engine compartment, but depending on the vehicle it can also be located in the rear. This does not change the procedure for disconnecting. First, the negative terminal cable is removed. In contrast to the red positive cable, it is usually black. Only after the negative cable has been removed can the positive cable be disconnected from the battery. Inserting the new battery Before installation, the batteries should be checked again to ensure they are identical in design. The size, pole position and of course the capacity should be identical. Any additional fastening bars can be removed. They are sometimes present so that one type of battery can be used in different car models. Now put the battery back in the right place and clean the cable contacts. Connecting the car battery When connecting, first attach the red positive cable to the positive terminal. A little terminal grease prevents premature corrosion. The negative cable can then be attached to the negative terminal. If the car has a positive distributor, this is also screwed back on. The charger with voltage maintenance can then be removed. Finally, the battery is reattached to the holders provided and any pole caps are put on.Then remove the multimeter to connect a charger with voltage maintenance. This prevents settings in the control unit, clock or radio from being lost when the battery is changed. Pay attention to the polarity of the connections. If the battery has a positive distributor, the charger is connected to this, because the positive distributor is removed first. However, switch off all electrical consumers and of course the engine before changing. Disconnecting the battery The car battery is usually located in the engine compartment, but depending on the vehicle it can also be located in the rear. This does not change the procedure for disconnecting. First, the cable of the negative pole is removed. In contrast to the red positive cable, it is usually black. Only after the negative cable has been removed can the positive cable be disconnected from the battery. Inserting the new battery Before installation, the batteries should be checked again to ensure they are identical. Size, pole position and of course the capacity should be identical. Any additional bars for fastening can be removed. They are sometimes there so that one type of battery can be used in different car models. Now put the battery back in the correct position and clean the cable contacts. Connecting the car battery When connecting, first attach the red positive cable to the positive pole. A little terminal grease prevents premature corrosion. Then the negative cable can be attached to the negative pole. If the car has a positive distributor, this is also screwed back on. The charger with voltage maintenance can then be removed. Finally, the battery is attached again using the holders provided and any pole caps are put on.Then remove the multimeter to connect a charger with voltage maintenance. This prevents settings in the control unit, clock or radio from being lost when the battery is changed. Pay attention to the polarity of the connections. If the battery has a positive distributor, the charger is connected to this, because the positive distributor is removed first. However, switch off all electrical consumers and of course the engine before changing. Disconnecting the battery The car battery is usually located in the engine compartment, but depending on the vehicle it can also be located in the rear. This does not change the procedure for disconnecting. First, the cable of the negative pole is removed. In contrast to the red positive cable, it is usually black. Only after the negative cable has been removed can the positive cable be disconnected from the battery. Inserting the new battery Before installation, the batteries should be checked again to ensure they are identical. Size, pole position and of course the capacity should be identical. Any additional bars for fastening can be removed. They are sometimes there so that one type of battery can be used in different car models. Now put the battery back in the correct position and clean the cable contacts. Connecting the car battery When connecting, first attach the red positive cable to the positive pole. A little terminal grease prevents premature corrosion. Then the negative cable can be attached to the negative pole. If the car has a positive distributor, this is also screwed back on. The charger with voltage maintenance can then be removed. Finally, the battery is attached again using the holders provided and any pole caps are put on.Now put the battery back in the correct position and clean the cable contacts. Connecting the car battery When connecting, first attach the red positive cable to the positive pole. A little terminal grease prevents premature corrosion. Then the negative cable can be attached to the negative pole. If the car has a positive distributor, this is also screwed back on. The charger with voltage maintenance can then be removed. Finally, the battery is attached again using the holders provided and any pole caps are put on.Now put the battery back in the correct position and clean the cable contacts. Connecting the car battery When connecting, first attach the red positive cable to the positive pole. A little terminal grease prevents premature corrosion. Then the negative cable can be attached to the negative pole. If the car has a positive distributor, this is also screwed back on. The charger with voltage maintenance can then be removed. Finally, the battery is attached again using the holders provided and any pole caps are put on."
Batteries	Battery (selection via Ah)			
Batteries	Motorcycle batteries (selection via Ah)			"All combustion engines require initial energy to overcome the resistance that occurs when starting. Motorcycles are of course no exception and for this reason they also have a starter battery. To make it easier to distinguish, this battery is usually called a motorcycle battery. Similar to a car, the motorcycle battery ensures that the engine's starter can perform its function. When the starter, also known as the starter motor, is engaged, its electric motor overcomes the inertia and any friction and compression resistance that occurs. The fuel-air mixture is compressed and is ready for ignition. As soon as the combustion engine is running, the generator normally takes over the energy supply. Motorcycle battery from Bosch Choosing the right motorcycle battery Modern motorcycle batteries have a voltage of 12 volts, while the electrics of smaller and older mopeds often run at a voltage of 6 volts. For this reason, choosing the right motorcycle battery is generally a little more complex than for a car. In addition to the voltage, the capacity plays an important role, as do the dimensions. Take a close look at your motorcycle's current battery and use the dimensions when selecting a new battery. The pole size and position are also important, as they can vary considerably depending on the circuit inside the battery. Usually, 6 cells with 2 volts are connected in series. Compared to normal wet batteries, AGM batteries (absorbing glass mat) have the advantage that the electrolyte is bound in a fleece. These batteries are characterized by a high cycle density and have a particularly long service life."
Batteries	Consumer/backup & buffer batteries			"Consumer batteries for top performance According to statistics, the number of battery failures in vehicles has increased steadily in recent years. No wonder when you consider how much a car battery has to do today. In addition to the primary systems, a large number of additional systems must also be supplied in modern motor vehicles, and this without increasing the performance of the car battery. The regular on-board battery usually ensures the energy supply to all primary systems. However, if there are unexpected downtimes or power peaks, the battery can fail. kfzteile24 has numerous solutions to this problem in its range of more than 1 million items. Whether consumer or backup and buffer batteries: With the high-quality battery blocks from well-known manufacturers, the vehicle runs smoothly. From zero to maximum performance in a matter of seconds Consumer and buffer batteries are designed for long-term use. They function as starter batteries and can therefore release large amounts of energy in the short term. They are ideal for vehicles whose integrated batteries have discharged after long periods of downtime. Boat engines can also be made to run again in this way. Such a battery as an emergency reserve in a vehicle or warehouse is always recommended for owners of agricultural machinery and watercraft. High-quality consumer batteries can be stored for long periods of time without discharging or the risk of leakage. Their cold start capability is the most important criterion. Particularly sluggish engines often require multiple starts. High-quality consumer batteries deliver top performance even in very short successive intervals. Data backup and operational loads The buffer battery ensures that important electronic devices are supplied with power even when the engine is switched off. This not only includes secondary systems such as digital clocks, but also computer-based systems such as those frequently used in agricultural machinery, for example driving routes and details on economical and ecological sowing. Such data must also be retained during work interruptions and stored in the on-board computer. The high reliability of the consumer batteries is assumed. When the vehicle is moved, particularly high forces act on the batteries. Vibrations, shocks and G-forces subject the accumulator to great stress. These micro-vibrations must not damage the battery, even when used continuously. If the primary battery fails completely, backup batteries can act as an emergency generator. They guarantee uninterrupted power. Such supplementary batteries often work even more reliably than the integrated vehicle battery."
Batteries	Chargers & maintenance devices			"Powerful chargers from specialist retailers Fast, customer-friendly processing of orders can only be guaranteed if the car parts and car spare parts are in stock in a timely manner, especially in the event of an emergency. kfzteile24 offers over 1 million such products for all common car brands and is able to provide over 90 percent of car parts within 24 hours. This fact also applies to innovative chargers for all types of motor vehicles. When selecting chargers, great importance is attached to brands that have been assessed for their quality by G T testers. Various factors were taken into account. These include the packaging and the protection class as well as the operation and range of functions. Various electrical tests were also included in the assessment. The majority of products achieved the best values ??when comparing price and performance. The point of the implemented charge maintenance and charging processes is important here. In addition, tests in a cold chamber at minus 20 degrees Celsius gave good to very good ratings for all branded products when it comes to solid and robust workmanship. The modern chargers from kfzteile24 allow you to conveniently charge your vehicle batteries to at least 13.8 volts. Tasks and advantages of maintenance devices kfzteile24 offers the largest range of high-quality spare parts for German car brands. The renowned dealer always has 1 million parts in stock. Within this range, professionals in petrol stations, workshops, towing services and original equipment manufacturers in the automotive industry can find various vehicle maintenance devices. The battery discharge devices, like the car chargers, are indispensable to ensure that the batteries always have a sufficient amount of energy. Vehicles are not always on the road, so the batteries can discharge, especially during longer periods of downtime. This is not the case with a maintenance device. These additional features help to ensure that the operating voltage cannot drop. And this even happens when it is cold outside. The vehicle battery does not have to be removed for this. Battery maintenance devices are a practical solution. In order for a starter to work, a current of 100 to 1,000 amps must be present to start the engine. At temperatures as low as minus 18 degrees Celsius, the performance of car batteries drops to half their original level, making starting impossible. This problem is solved with so-called battery trainers. This also eliminates the annoying task of checking the energy storage and regularly recharging it in winter. Trickle charging at a cell voltage limit of between 2.17 and 2.30 volts prevents sulfation in lead batteries. This primarily occurs when the battery charge decreases.For modern AGM lead batteries, less than 5 milliamperes per 100 ampere hours of nominal capacity are sufficient as a maintenance charge current."
Batteries	Voltage converter			"Voltage converters in motor vehicles A voltage converter is an additional device for use in trucks or other vehicles with an on-board voltage that differs from that of the device to be operated. It is used to supply external consumers and has the task of converting the on-board voltage of the vehicle, which is usually 12 or 24 volts. The required output voltage depends on the necessary supply voltage for the consumer. This is usually 12 volts. The converters can often be connected to the on-board network via the cigarette lighter socket. However, there are also voltage converters that can be integrated directly into the on-board network via cable connections. These are suitable if a device is to be permanently installed in the vehicle, which avoids exposed cables and the voltage can also be distributed to several consumers. Areas of use Such converters are often used in the truck sector by long-distance drivers, as they can operate devices such as cool boxes or cell phone and laptop chargers that are designed for 12 volt on-board voltage for the car sector. For the operation of everyday devices, there are also converters which have a 230 volt standard mains plug with alternating current as an output and can provide a sufficiently high output. This is why they are often used in mobile homes or on pleasure boats so that common household appliances can be used when traveling without a connection to a fixed power grid. Types and function Voltage converters can either convert direct current into direct current, whereby only the voltage is changed (DC-DC converter) or they convert the direct voltage into an alternating voltage (DC-AC converter). In DC-DC converters, an electronically controlled switch (e.g. MOSFET) is opened and closed so often that the desired voltage is created on average. A coil or capacitor in the circuit serves as a buffer which compensates for the voltage fluctuations caused by the switching processes, so that an almost constant output voltage is generated. DC-AC converters, on the other hand, work with an inverter. Four switchable diodes are controlled so that the current direction changes permanently. The control is carried out in such a way that on average a voltage curve is created that is close to the alternating voltage. However, modern devices require a precise alternating voltage curve, which is why an inverter with sine wave smoothing is necessary for their use."
Batteries	Battery accessories			"Battery accessories for more power According to their statistics, when the ADAC breakdown service is called out, it is mainly for the following reason: the battery is defective. Even if the vehicle does not start in winter, it is usually due to the accumulator. There are simple and inexpensive solutions to prevent this. Professional battery accessories not only increase the lifespan of the battery, but also its performance - and not just in winter. kfzteile24 offers a variety of useful helpers from well-known manufacturers and for all vehicles. The company's own support center also answers all questions about vehicles so that customers can get off to a flying start. Space-saving and useful: battery accessories for every vehicle A simple and effective way to ensure that the battery works even at temperatures well below freezing is a thermal protection cover. It can be trimmed to any size without tools using Velcro straps and, since it does not need to be cut, can be reused at any time. Once attached, it keeps the battery block air-conditioned all year round and prevents complex measures to maintain battery performance. A terminal cover cap provides additional protection. Distilled water is indispensable when using electronic components. If you don't want to carry a canister in your vehicle, you can use a space-saving bottle. It can be easily stored in a side compartment and is quickly to hand in an emergency. Terminal grease is also a performance optimizer. It not only prevents corrosion, but also improves conductivity, which ensures brighter lighting and safer starting. A ground block creates connection options for car hi-fi and other technical equipment. This increases the resale value of vehicles. But the additional interfaces can also be necessary for commercial vehicles. They offer space for work lights, heaters and many other utensils. As a preventative measure, the battery's acid level should be checked before the onset of winter. An inexpensive but effective acid tester will tell you whether the values ??are within the norm. A balanced acid content increases the life of the battery and its readiness for use even in winter. High-quality battery terminals ensure secure contacts and are available universally or for specific vehicles. Most battery accessories are so compact that they can be carried in the vehicle at all times. With this equipment, many breakdowns can be prevented or quickly repaired."
Braking system	Braking system			"Reliable brand brakes from quality manufacturers at kfzteile24 Brakes are among the most sought-after spare parts in our online shop, because in addition to attractive prices, we offer you reliable brand quality from specialists such as ATE, Brembo or Bosch. The brake discs, brake pads, brake drums and brake shoes correspond to the OE parts that are also installed by the vehicle manufacturers themselves and are of course tested and approved. In addition to the friction components, you can also buy other components and brake accessories from us at low prices. The braking system is ultimately a complex system, although the basic structure differs only slightly. Structure of a braking system A braking system always consists of a form of energy supply that starts the braking process. In cars, this function is performed by the driver, who presses the brake pedal. In cars, the force is then usually transmitted hydraulically through a master brake cylinder and brake hoses to the brake piston in the brake calliper or the wheel cylinder of the drum brake. An exception are parking brakes, which are often operated by cables or electronically. Brake boosters increase the force and brake force control systems such as ABS regulate the brake pressure to prevent the wheels from locking. Disc brakes have largely become the standard wheel brakes on the front and/or rear axle, but drum brakes are also still used, particularly in small cars and off-road vehicles. Master brake cylinder of a brake system The pressure for actuating the service brake is generated in the master brake cylinder. Costs for changing brake discs and brake pads The costs for changing all four brake discs including the brake pads for a Golf class car range between 650 and 1200 euros as a workshop quote. If you only have the brake pads changed, you will have to pay between 300 and around 450 euros. This can be done if the brake discs do not have any grooves or other signs of wear and there is enough material left up to the wear limit of the brake discs that the new set of brake pads wears out first. On average, a brake disc lasts for two brake pads, but this must be checked on a case-by-case basis. In any case, brakes are always changed on an axle-by-axle basis to ensure even wear and directional stability when braking. Solid discs from BremboBrake hose of the brake systemBrake drums from Brembo The costs usually increase with the size of the car: For example, a complete change of brake discs and pads in a Mercedes E-Class costs around 800 to 1200 euros; replacing just the brake pads costs 300 to 500 euros. In a BMW X5, it is 1500-2500 euros for a complete change - or 500 to 700 euros for new pads. Since many small cars have drum brakes at the rear,brake discs and pads only need to be changed at the front. This costs between 300 and 450 euros. The drum brakes last a long time, but are a bit more complex to replace. Save in the right place The prices mentioned are typical workshop offers and vary according to the car, location and respective labor costs. You often have the choice between original parts and cheaper models from the aftermarket. If you want to save money when changing the brakes, you can either install the brakes yourself or buy inexpensive replacements. However, since you should always leave the installation to an expert so as not to endanger yourself or others, it is a good idea to compare the parts carefully. In contrast to the workshop offer, you can be sure at kfzteile24 and choose the brake brand of your choice. Simply enter your vehicle details and select the appropriate brake parts from the pre-selection. Four brake discs for a VW Golf 4 are available from just 100 euros, depending on the year of manufacture and PR number. Now all you have to do is order the right brake pads and then ask the workshop to install them. This way you can drive cheaply and safely. Brembo brake pads - longer service life After changing the brakes, you want to brake immediately to see how effective they are, but unnecessary emergency braking is counterproductive in the first 300-500 kilometers. The brake pads and the brake discs need some time to adjust to each other, i.e. any unevenness in the pad is slowly rubbed off without thermal overload and the resulting groove formation. If the braking phase is ignored, the contact pattern of the brake disc deteriorates and the brakes start to judder. In the worst case, cracks can form in grooves or slots. If in doubt, the new brake disc must be replaced immediately. Since the brakes are always changed axle by axle, this quickly becomes expensive. Emergency braking due to traffic conditions must of course always be carried out with full braking force. Buying the right brake Brake discs differ in many ways. Their diameter varies. They are available as solid discs or with internal ventilation. With grooves or slots for water drainage and also different holes for the wheel bolts, to name just a few criteria. Different brakes are often used on the front axle and the rear axle. To find the right brake, you should therefore measure the parts currently installed and compare them carefully with our offers. This is especially true for cars whose braking system has already been converted. After all, the brake must fit the rim, the wheel hub and the brake caliper. If you do buy the wrong brake, you can use our 365-day return policy.We will exchange the goods on request or you will get your money back. Of course, this does not only apply to brake discs but also to all other parts of the braking system."
